restaurant,dish,price_inr,eta_min,diet,calories,protein_g,spice_level,portion,tags
South Bowl,Idli Sambar,120,15,Veg,280,9,Mild,Small,"light,veg,quick"
South Bowl,Masala Dosa,170,18,Veg,390,8,Medium,Medium,"light,veg,quick"
South Bowl,Plain Dosa,130,16,Veg,300,7,Mild,Medium,"light,veg,quick"
South Bowl,Pongal,160,17,Veg,360,9,Mild,Medium,"light,veg,filling"
South Bowl,Medu Vada,110,15,Veg,320,8,Medium,Small,"quick,veg"
South Bowl,Curd Rice,140,16,Veg,330,8,Mild,Medium,"light,veg,filling"
Fresh Bites,Veg Sandwich,180,14,Veg,320,10,Mild,Medium,"light,veg,quick"
Fresh Bites,Grilled Paneer Sandwich,220,17,Veg,430,18,Mild,Medium,"filling,veg,protein"
Fresh Bites,Chicken Sandwich,230,18,Non-Veg,410,25,Mild,Medium,"filling,protein,quick"
Fresh Bites,Veg Wrap,190,16,Veg,350,11,Mild,Medium,"light,veg,quick"
Fresh Bites,Chicken Wrap,220,18,Non-Veg,420,24,Medium,Medium,"filling,protein,quick"
Fresh Bites,Paneer Wrap,220,18,Veg,430,18,Medium,Medium,"filling,veg,protein"
Green Kitchen,Classic Veg Salad,190,17,Veg,240,8,Mild,Medium,"light,veg"
Green Kitchen,Paneer Salad Bowl,240,18,Veg,390,22,Mild,Large,"light,veg,protein,filling"
Green Kitchen,Chicken Salad Bowl,250,19,Non-Veg,410,30,Mild,Large,"light,protein,filling"
Green Kitchen,Sprouts Chaat,150,15,Veg,260,12,Medium,Medium,"light,veg,protein,quick"
Green Kitchen,Corn Chaat,140,14,Veg,280,8,Medium,Medium,"light,veg,quick"
Green Kitchen,Moong Dal Chilla,180,17,Veg,310,15,Medium,Medium,"light,veg,protein,filling"
Wrap Co,Falafel Wrap,210,19,Veg,420,14,Medium,Medium,"filling,veg"
Wrap Co,Egg Wrap,190,17,Non-Veg,360,20,Medium,Medium,"filling,protein,quick"
Wrap Co,Chicken Tikka Wrap,240,19,Non-Veg,440,27,Medium,Medium,"filling,protein,quick"
Wrap Co,Paneer Tikka Wrap,230,18,Veg,450,21,Medium,Medium,"filling,veg,protein"
Rice Bowl Co,Veg Rice Bowl,210,20,Veg,470,12,Mild,Large,"filling,veg"
Rice Bowl Co,Chicken Rice Bowl,240,19,Non-Veg,480,27,Medium,Large,"filling,protein"
Rice Bowl Co,Paneer Rice Bowl,230,20,Veg,500,20,Medium,Large,"filling,veg,protein"
Rice Bowl Co,Dal Khichdi,180,18,Veg,360,13,Mild,Large,"light,veg,filling"
Rice Bowl Co,Chicken Khichdi,230,20,Non-Veg,430,26,Mild,Large,"light,filling,protein"
Spice House,Veg Biryani,220,22,Veg,520,12,Medium,Large,"filling,veg"
Spice House,Chicken Biryani,280,24,Non-Veg,650,29,Medium,Large,"filling,protein"
Spice House,Paneer Biryani,260,23,Veg,620,22,Medium,Large,"filling,veg,protein"
Spice House,Chicken Tikka,250,21,Non-Veg,390,32,Medium,Medium,"protein,filling"
Spice House,Paneer Tikka,230,20,Veg,410,24,Medium,Medium,"veg,protein,filling"
Ghar Ka Khana,Dal Tadka & Rice,190,20,Veg,430,14,Mild,Large,"veg,filling"
Ghar Ka Khana,Rajma Rice,200,21,Veg,450,15,Medium,Large,"veg,filling,protein"
Ghar Ka Khana,Dal Roti Combo,180,19,Veg,400,14,Mild,Large,"veg,filling"
Ghar Ka Khana,Paneer Roti Combo,230,21,Veg,480,22,Medium,Large,"veg,filling,protein"
Ghar Ka Khana,Chicken Curry Rice,250,22,Non-Veg,540,29,Medium,Large,"filling,protein"
The Breakfast Club,Poha,110,14,Veg,250,6,Mild,Medium,"light,veg,quick"
The Breakfast Club,Upma,120,15,Veg,270,7,Mild,Medium,"light,veg,quick"
The Breakfast Club,Egg Bhurji Toast,180,16,Non-Veg,340,20,Medium,Medium,"light,protein,quick"
The Breakfast Club,Oats Bowl,190,17,Veg,300,10,Mild,Medium,"light,veg"
Soup Station,Tomato Soup,120,15,Veg,150,4,Mild,Small,"light,veg,quick"
Soup Station,Sweet Corn Soup,140,16,Veg,190,6,Mild,Medium,"light,veg,quick"
Soup Station,Chicken Clear Soup,170,17,Non-Veg,180,18,Mild,Medium,"light,protein,quick"
Soup Station,Chicken Manchow Soup,190,18,Non-Veg,280,16,Spicy,Medium,"light,protein,spicy"
Quick Bites,French Fries,130,15,Veg,420,5,Mild,Medium,"quick,veg"
Quick Bites,Veg Momos,160,17,Veg,300,9,Medium,Medium,"light,veg,quick"
Quick Bites,Chicken Momos,190,18,Non-Veg,340,18,Medium,Medium,"light,protein,quick"
Quick Bites,Hummus Pita,210,19,Veg,380,12,Mild,Medium,"light,veg,filling"
